operationId,nn_distance,description
PostIdentityVerificationSessionsSessionRedact,0.3949030147389644,"Redact a VerificationSession to remove all collected information from Stripe. This will redact the VerificationSession and all objects related to it, including VerificationReports, Events, request logs, etc. A VerificationSession object can be redacted when it is in requires_input or verified status. Redacting a VerificationSession in requires_action state will automatically cancel it. The redaction process may take up to four days. When the redaction process is in progress, the VerificationSession’s redaction.status field will be set to processing; when the process is finished, it will change to redacted and an identity.verification_session.redacted event will be emitted. Redaction is irreversible. Redacted objects are still accessible in the Stripe API, but all the fields that contain personal data will be replaced by the string [redacted] or a similar placeholder. The metadata field will also be erased. Redacted objects cannot be updated or used for any purpose. Learn more."
DeleteCustomersCustomer,0.39346219514636815,Permanently deletes a customer. It cannot be undone. Also immediately cancels any active subscriptions on the customer.
PostTestHelpersCustomersCustomerFundCashBalance,0.393085647878744,Create an incoming testmode bank transfer
PostRefundsRefundCancel,0.3905336553940113,Cancels a refund with a status of requires_action. You can’t cancel refunds in other states. Only refunds for payment methods that require customer action can enter the requires_action state.
PostTestHelpersRefundsRefundExpire,0.3905336553940113,Expire a refund with a status of requires_action.
GetReviews,0.3893185921615401,"Returns a list of Review objects that have open set to true. The objects are sorted in descending order by creation date, with the most recently created object appearing first."
GetReviewsReview,0.3893185921615401,Retrieves a Review object.
PostAccounts,0.38849629364375693,"With Connect, you can create Stripe accounts for your users. To do this, you’ll first need to register your platform. If you’ve already collected information for your connected accounts, you can prefill that information when creating the account. Connect Onboarding won’t ask for the prefilled information during account onboarding. You can prefill any information on the account."
PostPayoutsPayout,0.3872512358751493,Updates the specified payout by setting the values of the parameters you pass. We don’t change parameters that you don’t provide. This request only accepts the metadata as arguments.
GetTaxSettings,0.38724357364228157,Retrieves Tax Settings for a merchant.
PostTerminalReadersReaderCancelAction,0.38672413358764146,Cancels the current reader action.
PostCouponsCoupon,0.38481394935149327,"Updates the metadata of a coupon. Other coupon details (currency, duration, amount_off) are, by design, not editable."
GetBalance,0.378508205541518,"Retrieves the current account balance, based on the authentication that was used to make the request. For a sample request, see Accounting for negative balances."
GetPricesPrice,0.3766711303633644,Retrieves the price with the given ID.
PostAccountsAccountLoginLinks,0.37652319158949576,Creates a login link for a connected account to access the Express Dashboard. You can only create login links for accounts that use the Express Dashboard and are connected to your platform.
GetCouponsCoupon,0.3764929049942095,Retrieves the coupon with the given ID.
PostTestHelpersIssuingAuthorizationsAuthorizationFinalizeAmount,0.3758578781745354,"Finalize the amount on an Authorization prior to capture, when the initial authorization was for an estimated amount."
PostPrices,0.37196215526614673,Creates a new Price for an existing Product. The Price can be recurring or one-time.
PostCustomersCustomerSubscriptions,0.37022353895107296,Creates a new subscription on an existing customer.
GetProductsId,0.3669481733568707,"Retrieves the details of an existing product. Supply the unique product ID from either a product creation request or the product list, and Stripe will return the corresponding product information."
GetTaxCodesId,0.3669481733568707,Retrieves the details of an existing tax code. Supply the unique tax code ID and Stripe will return the corresponding tax code information.
GetTaxRatesTaxRate,0.3655941574989835,Retrieves a tax rate with the given ID
GetChargesChargeDispute,0.3653865695343437,Retrieve a dispute for a specified charge.
PostChargesCharge,0.36473374461909425,Updates the specified charge by setting the values of the parameters passed. Any parameters not provided will be left unchanged.
GetTaxTransactionsTransactionLineItems,0.36434473324125094,Retrieves the line items of a committed standalone transaction as a collection.
PostAccountLinks,0.3636590065773657,Creates an AccountLink object that includes a single-use Stripe URL that the platform can redirect their user to in order to take them through the Connect Onboarding flow.
GetQuotes,0.3628313499728397,Returns a list of your quotes.
GetQuotesQuote,0.3628313499728397,Retrieves the quote with the given ID.
PostDisputesDisputeClose,0.3609397433837196,"Closing the dispute for a charge indicates that you do not have any evidence to submit and are essentially dismissing the dispute, acknowledging it as lost. The status of the dispute will change from needs_response to lost. Closing a dispute is irreversible."
DeleteInvoicesInvoice,0.3606055630275733,"Permanently deletes a one-off invoice draft. This cannot be undone. Attempts to delete invoices that are no longer in a draft state will fail; once an invoice has been finalized or if an invoice is for a subscription, it must be voided."
PostSubscriptions,0.35942498732880357,"Creates a new subscription on an existing customer. Each customer can have up to 500 active or scheduled subscriptions. When you create a subscription with collection_method=charge_automatically, the first invoice is finalized as part of the request. The payment_behavior parameter determines the exact behavior of the initial payment. To start subscriptions where the first invoice always begins in a draft status, use subscription schedules instead. Schedules provide the flexibility to model more complex billing configurations that change over time."
PostPaymentMethods,0.3592618091445383,"Creates a PaymentMethod object. Read the Stripe.js reference to learn how to create PaymentMethods via Stripe.js. Instead of creating a PaymentMethod directly, we recommend using the PaymentIntents API to accept a payment immediately or the SetupIntent API to collect payment method details ahead of a future payment."
DeleteProductsId,0.35919956272311415,"Delete a product. Deleting a product is only possible if it has no prices associated with it. Additionally, deleting a product with type=good is only possible if it has no SKUs associated with it."
PostPromotionCodes,0.3590665858966813,"A promotion code points to an underlying promotion. You can optionally restrict the code to a specific customer, redemption limit, and expiration date."
PostPromotionCodesPromotionCode,0.3590665858966813,"Updates the specified promotion code by setting the values of the parameters passed. Most fields are, by design, not editable."
GetChargesCharge,0.35822337230505263,"Retrieves the details of a charge that has previously been created. Supply the unique charge ID that was returned from your previous request, and Stripe will return the corresponding charge information. The same information is returned when creating or refunding the charge."
GetTaxCodes,0.35761901765964466,A list of all tax codes available to add to Products in order to allow specific tax calculations.
PostClimateOrdersOrderCancel,0.35761504730024973,"Cancels a Climate order. You can cancel an order within 24 hours of creation. Stripe refunds the reservation amount_subtotal, but not the amount_fees for user-triggered cancellations. Frontier might cancel reservations if suppliers fail to deliver. If Frontier cancels the reservation, Stripe provides 90 days advance notice and refunds the amount_total."
PostTestHelpersTerminalReadersReaderPresentPaymentMethod,0.35760351571151616,"Presents a payment method on a simulated reader. Can be used to simulate accepting a payment, saving a card or refunding a transaction."
PostInvoicesInvoiceAttachPayment,0.3573995059849079,"Attaches a PaymentIntent or an Out of Band Payment to the invoice, adding it to the list of payments. For the PaymentIntent, when the PaymentIntent’s status changes to succeeded, the payment is credited to the invoice, increasing its amount_paid. When the invoice is fully paid, the invoice’s status becomes paid. If the PaymentIntent’s status is already succeeded when it’s attached, it’s credited to the invoice immediately. See: Partial payments to learn more."
GetTransfersTransfer,0.35583628927038924,"Retrieves the details of an existing transfer. Supply the unique transfer ID from either a transfer creation request or the transfer list, and Stripe will return the corresponding transfer information."
PostTestHelpersIssuingTransactionsCreateForceCapture,0.3544195129093287,"Allows the user to capture an arbitrary amount, also known as a forced capture."
GetCharges,0.3532457453630642,"Returns a list of charges you’ve previously created. The charges are returned in sorted order, with the most recent charges appearing first."
PostTaxTransactionsCreateReversal,0.3529936071929324,Partially or fully reverses a previously created Transaction.
DeleteAccountsAccount,0.3529431988997076,"With Connect, you can delete accounts you manage. Test-mode accounts can be deleted at any time. Live-mode accounts that have access to the standard dashboard and Stripe is responsible for negative account balances cannot be deleted, which includes Standard accounts. All other Live-mode accounts, can be deleted when all balances are zero. If you want to delete your own account, use the account information tab in your account settings instead."
PostAccountsAccountReject,0.3529431988997076,"With Connect, you can reject accounts that you have flagged as suspicious. Only accounts where your platform is liable for negative account balances, which includes Custom and Express accounts, can be rejected. Test-mode accounts can be rejected at any time. Live-mode accounts can only be rejected after all balances are zero."
GetTokensToken,0.3522590732836368,Retrieves the token with the given ID.
PostClimateOrdersOrder,0.3515298055371696,Updates the specified order by setting the values of the parameters passed.
PostTreasuryFinancialAccountsFinancialAccountClose,0.35107075589585146,"Closes a FinancialAccount. A FinancialAccount can only be closed if it has a zero balance, has no pending InboundTransfers, and has canceled all attached Issuing cards."
PostSourcesSource,0.3509555520989801,Updates the specified source by setting the values of the parameters passed. Any parameters not provided will be left unchanged. This request accepts the metadata and owner as arguments. It is also possible to update type specific information for selected payment methods. Please refer to our payment method guides for more detail.
PostTaxSettings,0.3485430678476459,Updates Tax Settings parameters used in tax calculations. All parameters are editable but none can be removed once set.
DeleteInvoiceitemsInvoiceitem,0.3471215050124681,"Deletes an invoice item, removing it from an invoice. Deleting invoice items is only possible when they’re not attached to invoices, or if it’s attached to a draft invoice."
PostBillingAlertsIdArchive,0.34671175593733694,"Archives this alert, removing it from the list view and APIs. This is non-reversible."
PostTaxCalculations,0.34495316910969254,Calculates tax based on the input and returns a Tax Calculation object.
GetCoupons,0.3437763749291194,Returns a list of your coupons.
PostCheckoutSessionsSessionExpire,0.34149527517428746,"A Checkout Session can be expired when it is in one of these statuses: open After it expires, a customer can’t complete a Checkout Session and customers loading the Checkout Session see a message saying the Checkout Session is expired."
PostCustomers,0.34094079229853,Creates a new customer object.
PostTerminalReadersReaderCollectInputs,0.34066175361812046,Initiates an input collection flow on a Reader.
PostPricesPrice,0.3403050178944542,Updates the specified price by setting the values of the parameters passed. Any parameters not provided are left unchanged.
PostProductsId,0.3403050178944542,Updates the specific product by setting the values of the parameters passed. Any parameters not provided will be left unchanged.
PostInvoiceitems,0.3386617747057742,"Creates an item to be added to a draft invoice (up to 250 items per invoice). If no invoice is specified, the item will be on the next invoice created for the customer specified."
PostTopupsTopupCancel,0.33841897626067763,Cancels a top-up. Only pending top-ups can be canceled.
GetFiles,0.33532191369146924,"Returns a list of the files that your account has access to. Stripe sorts and returns the files by their creation dates, placing the most recently created files at the top."
GetFilesFile,0.33532191369146924,"Retrieves the details of an existing file object. After you supply a unique file ID, Stripe returns the corresponding file object. Learn how to access file contents."
PostDisputesDispute,0.3343226086237384,"When you get a dispute, contacting your customer is always the best first step. If that doesn’t work, you can submit evidence to help us resolve the dispute in your favor. You can do this in your dashboard, but if you prefer, you can use the API to submit evidence programmatically. Depending on your dispute type, different evidence fields will give you a better chance of winning your dispute. To figure out which evidence fields to provide, see our guide to dispute types."
PostInvoices,0.3332421493257842,"This endpoint creates a draft invoice for a given customer. The invoice remains a draft until you finalize the invoice, which allows you to pay or send the invoice to your customers."
PostIssuingTokensToken,0.33262055700103554,Attempts to update the specified Issuing Token object to the status specified.
GetTopups,0.33173292421637046,Returns a list of top-ups.
GetTopupsTopup,0.33173292421637046,"Retrieves the details of a top-up that has previously been created. Supply the unique top-up ID that was returned from your previous request, and Stripe will return the corresponding top-up information."
PostPaymentMethodDomainsPaymentMethodDomainValidate,0.3317192558582912,"Some payment methods might require additional steps to register a domain. If the requirements weren’t satisfied when the domain was created, the payment method will be inactive on the domain. The payment method doesn’t appear in Elements or Embedded Checkout for this domain until it is active. To activate a payment method on an existing payment method domain, complete the required registration steps specific to the payment method, and then validate the payment method domain with this endpoint. Related guides: Payment method domains."
GetShippingRates,0.3308050514707035,Returns a list of your shipping rates.
GetTaxRates,0.3308050514707035,"Returns a list of your tax rates. Tax rates are returned sorted by creation date, with the most recently created tax rates appearing first."
PostEntitlementsFeatures,0.32960723778304635,Creates a feature
PostEntitlementsFeaturesId,0.32960723778304635,Update a feature’s metadata or permanently deactivate it.
PostRadarValueListsValueList,0.32955175900428113,Updates a ValueList object by setting the values of the parameters passed. Any parameters not provided will be left unchanged. Note that item_type is immutable.
GetPaymentMethodsPaymentMethod,0.32953348725997544,"Retrieves a PaymentMethod object attached to the StripeAccount. To retrieve a payment method attached to a Customer, you should use Retrieve a Customer’s PaymentMethods"
PostInvoicesInvoiceVoid,0.32857176452209047,"Mark a finalized invoice as void. This cannot be undone. Voiding an invoice is similar to deletion, however it only applies to finalized invoices and maintains a papertrail where the invoice can still be found. Consult with local regulations to determine whether and how an invoice might be amended, canceled, or voided in the jurisdiction you’re doing business in. You might need to issue another invoice or credit note instead. Stripe recommends that you consult with your legal counsel for advice specific to your business."
GetReportingReportTypes,0.32808838512956906,Returns a full list of Report Types.
GetReportingReportTypesReportType,0.32808838512956906,Retrieves the details of a Report Type. (Certain report types require a live-mode API key.)
PostPayoutsPayoutCancel,0.32806322353906947,You can cancel a previously created payout if its status is pending. Stripe refunds the funds to your available balance. You can’t cancel automatic Stripe payouts.
PostTaxTransactionsCreateFromCalculation,0.3268500507625577,"Creates a Tax Transaction from a calculation, if that calculation hasn’t expired. Calculations expire after 90 days."
PostIdentityVerificationSessions,0.32522025588328485,"Creates a VerificationSession object. After the VerificationSession is created, display a verification modal using the session client_secret or send your users to the session’s url. If your API key is in test mode, verification checks won’t actually process, though everything else will occur as if in live mode. Related guide: Verify your users’ identity documents"
GetPaymentMethods,0.3244417125574124,"Returns a list of PaymentMethods for Treasury flows. If you want to list the PaymentMethods attached to a Customer for payments, you should use the List a Customer’s PaymentMethods API instead."
PostIdentityVerificationSessionsSession,0.32379045892296365,"Updates a VerificationSession object. When the session status is requires_input, you can use this method to update the verification check and options."
PostIdentityVerificationSessionsSessionCancel,0.32379045892296365,"A VerificationSession object can be canceled when it is in requires_input status. Once canceled, future submission attempts are disabled. This cannot be undone. Learn more."
PostChargesChargeRefundsRefund,0.3236887728994545,Update a specified refund.
PostClimateOrders,0.32312470079549094,Creates a Climate order object for a given Climate product. The order will be processed immediately after creation and payment will be deducted your Stripe balance.
GetSourcesSourceSourceTransactions,0.3224390403073236,List source transactions for a given source.
PostAccountSessions,0.3219992897520709,Creates a AccountSession object that includes a single-use token that the platform can use on their front-end to grant client-side API access.
PostCustomerSessions,0.3219992897520709,Creates a Customer Session object that includes a single-use client secret that you can use on your front-end to grant client-side API access for certain customer resources.
PostBillingAlerts,0.3219748322052671,Creates a billing alert
PostCustomersCustomer,0.3200675759031003,"Updates the specified customer by setting the values of the parameters passed. Any parameters not provided will be left unchanged. For example, if you pass the source parameter, that becomes the customer’s active source (e.g., a card) to be used for all charges in the future. When you update a customer to a new valid card source by passing the source parameter: for each of the customer’s current subscriptions, if the subscription bills automatically and is in the past_due state, then the latest open invoice for the subscription with automatic collection enabled will be retried. This retry will not count as an automatic retry, and will not affect the next regularly scheduled payment for the invoice. Changing the default_source for a customer will not trigger this behavior. This request accepts mostly the same arguments as the customer creation call."
GetPayouts,0.3200329660277367,"Returns a list of existing payouts sent to third-party bank accounts or payouts that Stripe sent to you. The payouts return in sorted order, with the most recently created payouts appearing first."
GetPayoutsPayout,0.3200329660277367,Retrieves the details of an existing payout. Supply the unique payout ID from either a payout creation request or the payout list. Stripe returns the corresponding payout information.
DeleteSubscriptionItemsItem,0.31939394255941456,Deletes an item from the subscription. Removing a subscription item from a subscription will not cancel the subscription.
PostTerminalReadersReader,0.3181210940361109,Updates a Reader object by setting the values of the parameters passed. Any parameters not provided will be left unchanged.
PostApplicationFeesIdRefund,0.31796702020388656,
GetCustomers,0.31683661632800286,"Returns a list of your customers. The customers are returned sorted by creation date, with the most recent customers appearing first."
GetProducts,0.31683661632800286,"Returns a list of your products. The products are returned sorted by creation date, with the most recently created products appearing first."
PostProducts,0.31678440850602796,Creates a new product object.
PostPaymentIntentsIntentIncrementAuthorization,0.3159889708785987,"Perform an incremental authorization on an eligible PaymentIntent. To be eligible, the PaymentIntent’s status must be requires_capture and incremental_authorization_supported must be true. Incremental authorizations attempt to increase the authorized amount on your customer’s card to the new, higher amount provided. Similar to the initial authorization, incremental authorizations can be declined. A single PaymentIntent can call this endpoint multiple times to further increase the authorized amount. If the incremental authorization succeeds, the PaymentIntent object returns with the updated amount. If the incremental authorization fails, a card_declined error returns, and no other fields on the PaymentIntent or Charge update. The PaymentIntent object remains capturable for the previously authorized amount. Each PaymentIntent can have a maximum of 10 incremental authorization attempts, including declines. After it’s captured, a PaymentIntent can no longer be incremented. Learn more about incremental authorizations."
GetBillingCreditBalanceSummary,0.3157787395633783,Retrieves the credit balance summary for a customer.
GetPlans,0.31539261507466,Returns a list of your plans.
GetPlansPlan,0.31539261507466,Retrieves the plan with the given ID.
PostCreditNotesId,0.31457229647554563,Updates an existing credit note.
PostCreditNotesIdVoid,0.31457229647554563,Marks a credit note as void. Learn more about voiding credit notes.
GetInvoiceitems,0.31357575487332734,"Returns a list of your invoice items. Invoice items are returned sorted by creation date, with the most recently created invoice items appearing first."
GetInvoices,0.31357575487332734,"You can list all invoices, or list the invoices for a specific customer. The invoices are returned sorted by creation date, with the most recently created invoices appearing first."
GetReportingReportRuns,0.31293791019021877,"Returns a list of Report Runs, with the most recent appearing first."
GetReportingReportRunsReportRun,0.31293791019021877,Retrieves the details of an existing Report Run.
GetTaxTransactionsTransaction,0.31275594463561784,Retrieves a Tax Transaction object.
GetDisputes,0.31196538605107416,Returns a list of your disputes.
PostTopups,0.31146769999523527,Top up the balance of an account
PostTopupsTopup,0.31146769999523527,Updates the metadata of a top-up. Other top-up details are not editable by design.
PostIssuingDisputesDispute,0.311029840752749,Updates the specified Issuing Dispute object by setting the values of the parameters passed. Any parameters not provided will be left unchanged. Properties on the evidence object can be unset by passing in an empty string.
PostCharges,0.31064761679226305,This method is no longer recommended—use the Payment Intents API to initiate a new payment instead. Confirmation of the PaymentIntent creates the Charge object used to request payment.
GetCustomersCustomerSubscriptions,0.3094457534266857,"You can see a list of the customer’s active subscriptions. Note that the 10 most recent active subscriptions are always available by default on the customer object. If you need more than those 10, you can use the limit and starting_after parameters to page through additional subscriptions."
GetIdentityVerificationSessions,0.3081760861114986,Returns a list of VerificationSessions
GetIdentityVerificationSessionsSession,0.3081760861114986,"Retrieves the details of a VerificationSession that was previously created. When the session status is requires_input, you can use this method to retrieve a valid client_secret or url to allow re-submission."
GetIssuingSettlementsSettlement,0.3059873012444728,Retrieves an Issuing Settlement object.
PostAppsSecrets,0.30585921205073985,Create or replace a secret in the secret store.
PostEphemeralKeys,0.30548801979171836,Creates a short-lived API key for a given resource.
DeleteEphemeralKeysKey,0.30548801979171836,Invalidates a short-lived API key for a given resource.
GetCustomersCustomer,0.30535208144177584,Retrieves a Customer object.
PostPaymentMethodsPaymentMethodAttach,0.30529027299343625,"Attaches a PaymentMethod object to a Customer. To attach a new PaymentMethod to a customer for future payments, we recommend you use a SetupIntent or a PaymentIntent with setup_future_usage. These approaches will perform any necessary steps to set up the PaymentMethod for future payments. Using the /v1/payment_methods/:id/attach endpoint without first using a SetupIntent or PaymentIntent with setup_future_usage does not optimize the PaymentMethod for future use, which makes later declines and payment friction more likely. See Optimizing cards for future payments for more information about setting up future payments. To use this PaymentMethod as the default for invoice or subscription payments, set invoice_settings.default_payment_method, on the Customer to the PaymentMethod’s ID."
DeleteTerminalLocationsLocation,0.30273888236780955,Deletes a Location object.
GetInvoiceRenderingTemplates,0.3012284299691981,"List all templates, ordered by creation date, with the most recently created template appearing first."
GetInvoiceRenderingTemplatesTemplate,0.3012284299691981,"Retrieves an invoice rendering template with the given ID. It by default returns the latest version of the template. Optionally, specify a version to see previous versions."
GetCheckoutSessionsSessionLineItems,0.30074113973498373,"When retrieving a Checkout Session, there is an includable line_items property containing the first handful of those items. There is also a URL where you can retrieve the full (paginated) list of line items."
GetPaymentIntents,0.3003655187286657,Returns a list of PaymentIntents.
PostTestHelpersTestClocks,0.3002321427163054,Creates a new test clock that can be attached to new customers and quotes.
GetShippingRatesShippingRateToken,0.29970244543889857,Returns the shipping rate object with the given ID.
PostTerminalReadersReaderRefundPayment,0.2980225245035739,Initiates a refund on a Reader
PostTreasuryFinancialAccounts,0.29765000291218346,Creates a new FinancialAccount. Each connected account can have up to three FinancialAccounts by default.
GetCreditNotesPreview,0.29582759587106155,Get a preview of a credit note without creating it.
PostFileLinks,0.2956309614874456,Creates a new file link object.
PostFileLinksLink,0.2956309614874456,Updates an existing file link object. Expired links can no longer be updated.
GetCreditNotes,0.29495508595241027,Returns a list of credit notes.
GetCreditNotesId,0.29495508595241027,Retrieves the credit note object with the given identifier.
PostQuotesQuoteAccept,0.29461171031644184,Accepts the specified quote.
PostWebhookEndpoints,0.29423161521771934,"A webhook endpoint must have a url and a list of enabled_events. You may optionally specify the Boolean connect parameter. If set to true, then a Connect webhook endpoint that notifies the specified url about events from all connected accounts is created; otherwise an account webhook endpoint that notifies the specified url only about events from your account is created. You can also create webhook endpoints in the webhooks settings section of the Dashboard."
PostWebhookEndpointsWebhookEndpoint,0.29423161521771934,"Updates the webhook endpoint. You may edit the url, the list of enabled_events, and the status of your endpoint."
PostForwardingRequests,0.2930212498050684,Creates a ForwardingRequest object.
GetDisputesDispute,0.29155825987840756,Retrieves the dispute with the given ID.
PostApplicationFeesIdRefunds,0.2912298580967261,"Refunds an application fee that has previously been collected but not yet refunded. Funds will be refunded to the Stripe account from which the fee was originally collected. You can optionally refund only part of an application fee. You can do so multiple times, until the entire fee has been refunded. Once entirely refunded, an application fee can’t be refunded again. This method will raise an error when called on an already-refunded application fee, or when trying to refund more money than is left on an application fee."
GetInvoicePayments,0.2887100126977834,"When retrieving an invoice, there is an includable payments property containing the first handful of those items. There is also a URL where you can retrieve the full (paginated) list of payments."
PostQuotesQuoteCancel,0.28789890806271334,Cancels the quote.
PostQuotesQuoteFinalize,0.28789890806271334,Finalizes the quote.
GetBillingMetersIdEventSummaries,0.2876127049696705,Retrieve a list of billing meter event summaries.
PostInvoiceitemsInvoiceitem,0.2828162409402757,Updates the amount or description of an invoice item on an upcoming invoice. Updating an invoice item is only possible before the invoice it’s attached to is closed.
GetSubscriptionSchedules,0.28146155641730686,Retrieves the list of your subscription schedules.
GetSubscriptionSchedulesSchedule,0.28146155641730686,Retrieves the details of an existing subscription schedule. You only need to supply the unique subscription schedule identifier that was returned upon subscription schedule creation.
PostSubscriptionSchedulesScheduleCancel,0.2807230391365805,Cancels a subscription schedule and its associated subscription immediately (if the subscription schedule has an active subscription). A subscription schedule can only be canceled if its status is not_started or active.
PostSubscriptionSchedulesScheduleRelease,0.2807230391365805,"Releases the subscription schedule immediately, which will stop scheduling of its phases, but leave any existing subscription in place. A schedule can only be released if its status is not_started or active. If the subscription schedule is currently associated with a subscription, releasing it will remove its subscription property and set the subscription’s ID to the released_subscription property."
