cluster_id,cluster_size,risk_level,http_method,operationId,description,avg_internal_distance,max_internal_distance,nearest_cluster_distance
15,2,HIGH,Get,GetApplePayDomainsDomain,Retrieve an apple pay domain.,0.121082,0.121082,0.188105
16,2,HIGH,Get,GetApplicationFeesFeeRefundsId,"By default, you can see the 10 most recent refunds stored directly on the application fee object, but you can also retrieve details about a specific refund stored on the application fee.",0.095905,0.095905,0.227669
16,2,HIGH,Get,GetApplicationFeesIdRefunds,"You can see a list of the refunds belonging to a specific application fee. Note that the 10 most recent refunds are always available by default on the application fee object. If you need more than those 10, you can use this API method and the limit and starting_after parameters to page through additional refunds.",0.095905,0.095905,0.227669
17,2,HIGH,Get,GetBalanceHistory,"Returns a list of transactions that have contributed to the Stripe account balance (e.g., charges, transfers, and so forth). The transactions are returned in sorted order, with the most recent transactions appearing first. Note that this endpoint was previously called “Balance history” and used the path /v1/balance/history.",0.035218,0.035218,0.334966
17,2,HIGH,Get,GetBalanceTransactions,"Returns a list of transactions that have contributed to the Stripe account balance (e.g., charges, transfers, and so forth). The transactions are returned in sorted order, with the most recent transactions appearing first. Note that this endpoint was previously called “Balance history” and used the path /v1/balance/history.",0.035218,0.035218,0.334966
18,2,HIGH,Get,GetBalanceHistoryId,Retrieves the balance transaction with the given ID. Note that this endpoint previously used the path /v1/balance/history/:id.,0.049275,0.049275,0.334966
18,2,HIGH,Get,GetBalanceTransactionsId,Retrieves the balance transaction with the given ID. Note that this endpoint previously used the path /v1/balance/history/:id.,0.049275,0.049275,0.334966
19,2,LOW,Get,GetBalanceSettings,Retrieves balance settings for a given connected account. Related guide: Making API calls for connected accounts,0.148157,0.148157,0.378508
19,2,LOW,Post,PostBalanceSettings,Updates balance settings for a given connected account. Related guide: Making API calls for connected accounts,0.148157,0.148157,0.378508
20,2,HIGH,Get,GetBillingCreditBalanceTransactions,Retrieve a list of credit balance transactions.,0.127797,0.127797,0.257794
20,2,HIGH,Get,GetBillingCreditBalanceTransactionsId,Retrieves a credit balance transaction.,0.127797,0.127797,0.257794
21,2,HIGH,Get,GetBillingCreditGrants,Retrieve a list of credit grants.,0.102874,0.102874,0.215907
21,2,HIGH,Get,GetBillingCreditGrantsId,Retrieves a credit grant.,0.102874,0.102874,0.215907
22,2,HIGH,Post,PostBillingCreditGrants,Creates a credit grant.,0.132424,0.132424,0.192354
22,2,HIGH,Post,PostBillingCreditGrantsId,Updates a credit grant.,0.132424,0.132424,0.192354
23,2,HIGH,Post,PostBillingMeterEvents,Creates a billing meter event.,0.135169,0.135169,0.170908
23,2,HIGH,Post,PostBillingMeters,Creates a billing meter.,0.135169,0.135169,0.170908
24,2,HIGH,Get,GetBillingPortalConfigurations,Returns a list of configurations that describe the functionality of the customer portal.,0.103312,0.103312,0.239343
24,2,HIGH,Get,GetBillingPortalConfigurationsConfiguration,Retrieves a configuration that describes the functionality of the customer portal.,0.103312,0.103312,0.239343
25,2,HIGH,Post,PostChargesChargeDispute,,0.075097,0.075097,0.360940
25,2,HIGH,Post,PostChargesChargeDisputeClose,,0.075097,0.075097,0.360940
26,2,HIGH,Get,GetClimateSuppliers,Lists all available Climate supplier objects.,0.135945,0.135945,0.256822
26,2,HIGH,Get,GetClimateSuppliersSupplier,Retrieves a Climate supplier object.,0.135945,0.135945,0.256822
27,2,HIGH,Get,GetCreditNotesPreviewLines,"When retrieving a credit note preview, you’ll get a lines property containing the first handful of those items. This URL you can retrieve the full (paginated) list of line items.",0.100216,0.100216,0.262177
27,2,HIGH,Get,GetCreditNotesCreditNoteLines,"When retrieving a credit note, you’ll get a lines property containing the first handful of those items. There is also a URL where you can retrieve the full (paginated) list of line items.",0.100216,0.100216,0.262177
28,2,HIGH,Get,GetCustomersCustomerBalanceTransactions,Returns a list of transactions that updated the customer’s balances.,0.127395,0.127395,0.188429
28,2,HIGH,Get,GetCustomersCustomerCashBalanceTransactions,Returns a list of transactions that modified the customer’s cash balance.,0.127395,0.127395,0.188429
29,2,HIGH,Get,GetCustomersCustomerBalanceTransactionsTransaction,Retrieves a specific customer balance transaction that updated the customer’s balances.,0.096196,0.096196,0.188429
29,2,HIGH,Get,GetCustomersCustomerCashBalanceTransactionsTransaction,"Retrieves a specific cash balance transaction, which updated the customer’s cash balance.",0.096196,0.096196,0.188429
30,2,HIGH,Post,PostCustomersCustomerBankAccountsId,Update a specified source for a given customer.,0.146498,0.146498,0.146177
30,2,HIGH,Post,PostCustomersCustomerSourcesId,Update a specified source for a given customer.,0.146498,0.146498,0.146177
31,2,HIGH,Post,PostCustomersCustomerBankAccountsIdVerify,Verify a specified bank account for a given customer.,0.121098,0.121098,0.289112
31,2,HIGH,Post,PostCustomersCustomerSourcesIdVerify,Verify a specified bank account for a given customer.,0.121098,0.121098,0.289112
32,2,HIGH,Get,GetCustomersCustomerSources,List sources for a specified customer.,0.135361,0.135361,0.173058
32,2,HIGH,Get,GetCustomersCustomerSourcesId,Retrieve a specified source for a given customer.,0.135361,0.135361,0.173058
33,2,HIGH,Delete,DeleteCustomersCustomerSubscriptionsSubscriptionExposedId,"Cancels a customer’s subscription. If you set the at_period_end parameter to true, the subscription will remain active until the end of the period, at which point it will be canceled and not renewed. Otherwise, with the default false value, the subscription is terminated immediately. In either case, the customer will not be charged again for the subscription. Note, however, that any pending invoice items that you’ve created will still be charged for at the end of the period, unless manually deleted. If you’ve set the subscription to cancel at the end of the period, any pending prorations will also be left in place and collected at the end of the period. But if the subscription is set to cancel immediately, pending prorations will be removed. By default, upon subscription cancellation, Stripe will stop automatic collection of all finalized invoices for the customer. This is intended to prevent unexpected payment attempts after the customer has canceled a subscription. However, you can resume automatic collection of the invoices manually after subscription cancellation to have us proceed. Or, you could check for unpaid invoices before allowing the customer to cancel the subscription at all.",0.135952,0.135952,0.377506
33,2,HIGH,Delete,DeleteSubscriptionsSubscriptionExposedId,"Cancels a customer’s subscription immediately. The customer won’t be charged again for the subscription. After it’s canceled, you can no longer update the subscription or its metadata. Any pending invoice items that you’ve created are still charged at the end of the period, unless manually deleted. If you’ve set the subscription to cancel at the end of the period, any pending prorations are also left in place and collected at the end of the period. But if the subscription is set to cancel immediately, pending prorations are removed if invoice_now and prorate are both set to true. By default, upon subscription cancellation, Stripe stops automatic collection of all finalized invoices for the customer. This is intended to prevent unexpected payment attempts after the customer has canceled a subscription. However, you can resume automatic collection of the invoices manually after subscription cancellation to have us proceed. Or, you could check for unpaid invoices before allowing the customer to cancel the subscription at all.",0.135952,0.135952,0.377506
34,2,HIGH,Get,GetCustomersCustomerSubscriptionsSubscriptionExposedId,Retrieves the subscription with the given ID.,0.127616,0.127616,0.229780
34,2,HIGH,Get,GetSubscriptionsSubscriptionExposedId,Retrieves the subscription with the given ID.,0.127616,0.127616,0.229780
35,2,HIGH,Delete,DeleteCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount,Removes the currently applied discount on a customer.,0.113653,0.113653,0.190481
35,2,HIGH,Delete,DeleteSubscriptionsSubscriptionExposedIdDiscount,Removes the currently applied discount on a subscription.,0.113653,0.113653,0.190481
36,2,HIGH,Delete,DeleteCustomersCustomerTaxIdsId,Deletes an existing tax_id object.,0.142929,0.142929,0.212298
36,2,HIGH,Delete,DeleteTaxIdsId,Deletes an existing account or customer tax_id object.,0.142929,0.142929,0.212298
37,2,HIGH,Get,GetFinancialConnectionsAccounts,Returns a list of Financial Connections Account objects.,0.145565,0.145565,0.157089
37,2,HIGH,Get,GetLinkedAccounts,Returns a list of Financial Connections Account objects.,0.145565,0.145565,0.157089
38,2,HIGH,Get,GetFinancialConnectionsAccountsAccount,Retrieves the details of an Financial Connections Account.,0.130666,0.130666,0.195640
38,2,HIGH,Get,GetLinkedAccountsAccount,Retrieves the details of an Financial Connections Account.,0.130666,0.130666,0.195640
39,2,HIGH,Post,PostFinancialConnectionsAccountsAccountDisconnect,"Disables your access to a Financial Connections Account. You will no longer be able to access data associated with the account (e.g. balances, transactions).",0.111677,0.111677,0.307246
39,2,HIGH,Post,PostLinkedAccountsAccountDisconnect,"Disables your access to a Financial Connections Account. You will no longer be able to access data associated with the account (e.g. balances, transactions).",0.111677,0.111677,0.307246
40,2,HIGH,Post,PostFinancialConnectionsAccountsAccountSubscribe,Subscribes to periodic refreshes of data associated with a Financial Connections Account.,0.135413,0.135413,0.212344
40,2,HIGH,Post,PostFinancialConnectionsAccountsAccountUnsubscribe,Unsubscribes from periodic refreshes of data associated with a Financial Connections Account.,0.135413,0.135413,0.212344
41,2,HIGH,Post,PostFinancialConnectionsSessions,"To launch the Financial Connections authorization flow, create a Session. The session’s client_secret can be used to launch the flow using Stripe.js.",0.084254,0.084254,0.363228
41,2,HIGH,Post,PostLinkAccountSessions,"To launch the Financial Connections authorization flow, create a Session. The session’s client_secret can be used to launch the flow using Stripe.js.",0.084254,0.084254,0.363228
42,2,HIGH,Get,GetFinancialConnectionsSessionsSession,Retrieves the details of a Financial Connections Session,0.143892,0.143892,0.208886
42,2,HIGH,Get,GetLinkAccountSessionsSession,Retrieves the details of a Financial Connections Session,0.143892,0.143892,0.208886
43,2,HIGH,Get,GetInvoicesSearch,"Search for invoices you’ve previously created using Stripe’s Search Query Language. Don’t use search in read-after-write flows where strict consistency is necessary. Under normal operating conditions, data is searchable in less than a minute. Occasionally, propagation of new or updated data can be up to an hour behind during outages. Search functionality is not available to merchants in India.",0.145389,0.145389,0.133017
43,2,HIGH,Get,GetPricesSearch,"Search for prices you’ve previously created using Stripe’s Search Query Language. Don’t use search in read-after-write flows where strict consistency is necessary. Under normal operating conditions, data is searchable in less than a minute. Occasionally, propagation of new or updated data can be up to an hour behind during outages. Search functionality is not available to merchants in India.",0.145389,0.145389,0.133017
44,2,HIGH,Post,PostInvoicesInvoiceAddLines,Adds multiple line items to an invoice. This is only possible when an invoice is still a draft.,0.128732,0.128732,0.164549
44,2,HIGH,Post,PostInvoicesInvoiceUpdateLines,Updates multiple line items on an invoice. This is only possible when an invoice is still a draft.,0.128732,0.128732,0.164549
45,2,HIGH,Post,PostIssuingAuthorizationsAuthorizationApprove,"[Deprecated] Approves a pending Issuing Authorization object. This request should be made within the timeout window of the real-time authorization flow. This method is deprecated. Instead, respond directly to the webhook request to approve an authorization.",0.123001,0.123001,0.450491
45,2,HIGH,Post,PostIssuingAuthorizationsAuthorizationDecline,"[Deprecated] Declines a pending Issuing Authorization object. This request should be made within the timeout window of the real time authorization flow. This method is deprecated. Instead, respond directly to the webhook request to decline an authorization.",0.123001,0.123001,0.450491
46,2,HIGH,Get,GetIssuingCardholders,"Returns a list of Issuing Cardholder objects. The objects are sorted in descending order by creation date, with the most recently created object appearing first.",0.086433,0.086433,0.206442
46,2,HIGH,Get,GetIssuingCards,"Returns a list of Issuing Card objects. The objects are sorted in descending order by creation date, with the most recently created object appearing first.",0.086433,0.086433,0.206442
47,2,HIGH,Post,PostIssuingCardholders,Creates a new Issuing Cardholder object that can be issued cards.,0.129604,0.129604,0.257416
47,2,HIGH,Post,PostIssuingCards,Creates an Issuing Card object.,0.129604,0.129604,0.257416
48,2,HIGH,Get,GetIssuingCardholdersCardholder,Retrieves an Issuing Cardholder object.,0.117737,0.117737,0.223633
48,2,HIGH,Get,GetIssuingCardsCard,Retrieves an Issuing Card object.,0.117737,0.117737,0.223633
49,2,HIGH,Post,PostIssuingCardholdersCardholder,Updates the specified Issuing Cardholder object by setting the values of the parameters passed. Any parameters not provided will be left unchanged.,0.090987,0.090987,0.211249
49,2,HIGH,Post,PostIssuingCardsCard,Updates the specified Issuing Card object by setting the values of the parameters passed. Any parameters not provided will be left unchanged.,0.090987,0.090987,0.211249
50,2,HIGH,Post,PostPaymentIntentsIntentVerifyMicrodeposits,Verifies microdeposits on a PaymentIntent object.,0.146961,0.146961,0.337769
50,2,HIGH,Post,PostSetupIntentsIntentVerifyMicrodeposits,Verifies microdeposits on a SetupIntent object.,0.146961,0.146961,0.337769
51,2,HIGH,Get,GetPaymentMethodConfigurations,List payment method configurations,0.134520,0.134520,0.274106
51,2,HIGH,Get,GetPaymentMethodConfigurationsConfiguration,Retrieve payment method configuration,0.134520,0.134520,0.274106
52,2,HIGH,Get,GetPaymentMethodDomains,Lists the details of existing payment method domains.,0.103705,0.103705,0.243927
52,2,HIGH,Get,GetPaymentMethodDomainsPaymentMethodDomain,Retrieves the details of an existing payment method domain.,0.103705,0.103705,0.243927
53,2,HIGH,Get,GetRadarValueListItems,"Returns a list of ValueListItem objects. The objects are sorted in descending order by creation date, with the most recently created object appearing first.",0.090820,0.090820,0.153424
53,2,HIGH,Get,GetRadarValueLists,"Returns a list of ValueList objects. The objects are sorted in descending order by creation date, with the most recently created object appearing first.",0.090820,0.090820,0.153424
54,2,HIGH,Get,GetTaxRegistrations,Returns a list of Tax Registration objects.,0.135800,0.135800,0.281873
54,2,HIGH,Get,GetTaxRegistrationsId,Returns a Tax Registration object.,0.135800,0.135800,0.281873
55,2,HIGH,Get,GetTerminalConfigurations,Returns a list of Configuration objects.,0.130664,0.130664,0.266575
55,2,HIGH,Get,GetTerminalConfigurationsConfiguration,Retrieves a Configuration object.,0.130664,0.130664,0.266575
56,2,HIGH,Post,PostTerminalConfigurations,Creates a new Configuration object.,0.138738,0.138738,0.339808
56,2,HIGH,Post,PostTerminalConfigurationsConfiguration,Updates a new Configuration object.,0.138738,0.138738,0.339808
57,2,HIGH,Get,GetTerminalLocations,Returns a list of Location objects.,0.130660,0.130660,0.298158
57,2,HIGH,Get,GetTerminalLocationsLocation,Retrieves a Location object.,0.130660,0.130660,0.298158
58,2,HIGH,Get,GetTerminalReaders,Returns a list of Reader objects.,0.126833,0.126833,0.250168
58,2,HIGH,Get,GetTerminalReadersReader,Retrieves a Reader object.,0.126833,0.126833,0.250168
59,2,HIGH,Post,PostTestHelpersIssuingCardsCardShippingDeliver,Updates the shipping status of the specified Issuing Card object to delivered.,0.126544,0.126544,0.123488
59,2,HIGH,Post,PostTestHelpersIssuingCardsCardShippingShip,Updates the shipping status of the specified Issuing Card object to shipped.,0.126544,0.126544,0.123488
60,2,HIGH,Post,PostTestHelpersIssuingPersonalizationDesignsPersonalizationDesignActivate,Updates the status of the specified testmode personalization design object to active.,0.112776,0.112776,0.234927
60,2,HIGH,Post,PostTestHelpersIssuingPersonalizationDesignsPersonalizationDesignDeactivate,Updates the status of the specified testmode personalization design object to inactive.,0.112776,0.112776,0.234927
61,2,HIGH,Post,PostTestHelpersTreasuryInboundTransfersIdSucceed,Transitions a test mode created InboundTransfer to the succeeded status. The InboundTransfer must already be in the processing state.,0.137870,0.137870,0.082268
61,2,HIGH,Post,PostTestHelpersTreasuryOutboundTransfersOutboundTransferReturn,Transitions a test mode created OutboundTransfer to the returned status. The OutboundTransfer must already be in the processing state.,0.137870,0.137870,0.082268
62,2,HIGH,Post,PostTestHelpersTreasuryOutboundPaymentsId,"Updates a test mode created OutboundPayment with tracking details. The OutboundPayment must not be cancelable, and cannot be in the canceled or failed states.",0.094804,0.094804,0.237666
62,2,HIGH,Post,PostTestHelpersTreasuryOutboundTransfersOutboundTransfer,"Updates a test mode created OutboundTransfer with tracking details. The OutboundTransfer must not be cancelable, and cannot be in the canceled or failed states.",0.094804,0.094804,0.237666
63,2,HIGH,Post,PostTestHelpersTreasuryReceivedCredits,"Use this endpoint to simulate a test mode ReceivedCredit initiated by a third party. In live mode, you can’t directly create ReceivedCredits initiated by third parties.",0.124738,0.124738,0.383162
63,2,HIGH,Post,PostTestHelpersTreasuryReceivedDebits,"Use this endpoint to simulate a test mode ReceivedDebit initiated by a third party. In live mode, you can’t directly create ReceivedDebits initiated by third parties.",0.124738,0.124738,0.383162
64,2,HIGH,Get,GetTransfersIdReversals,"You can see a list of the reversals belonging to a specific transfer. Note that the 10 most recent reversals are always available by default on the transfer object. If you need more than those 10, you can use this API method and the limit and starting_after parameters to page through additional reversals.",0.135087,0.135087,0.242325
64,2,HIGH,Get,GetTransfersTransferReversalsId,"By default, you can see the 10 most recent reversals stored directly on the transfer object, but you can also retrieve details about a specific reversal stored on the transfer.",0.135087,0.135087,0.242325
65,2,HIGH,Get,GetTreasuryDebitReversals,Returns a list of DebitReversals.,0.137011,0.137011,0.151635
65,2,HIGH,Get,GetTreasuryDebitReversalsDebitReversal,Retrieves a DebitReversal object.,0.137011,0.137011,0.151635
66,2,HIGH,Get,GetTreasuryInboundTransfers,Returns a list of InboundTransfers sent from the specified FinancialAccount.,0.106543,0.106543,0.089211
66,2,HIGH,Get,GetTreasuryOutboundTransfers,Returns a list of OutboundTransfers sent from the specified FinancialAccount.,0.106543,0.106543,0.089211
67,2,HIGH,Post,PostTreasuryInboundTransfers,Creates an InboundTransfer.,0.136564,0.136564,0.155019
67,2,HIGH,Post,PostTreasuryOutboundTransfers,Creates an OutboundTransfer.,0.136564,0.136564,0.155019
68,2,HIGH,Get,GetTreasuryOutboundPaymentsId,Retrieves the details of an existing OutboundPayment by passing the unique OutboundPayment ID from either the OutboundPayment creation request or OutboundPayment list.,0.133769,0.133769,0.197192
68,2,HIGH,Get,GetTreasuryOutboundTransfersOutboundTransfer,Retrieves the details of an existing OutboundTransfer by passing the unique OutboundTransfer ID from either the OutboundTransfer creation request or OutboundTransfer list.,0.133769,0.133769,0.197192
69,1,LOW,Post,PostAccountLinks,Creates an AccountLink object that includes a single-use Stripe URL that the platform can redirect their user to in order to take them through the Connect Onboarding flow.,0.000000,0.000000,0.363659
70,1,LOW,Post,PostAccountSessions,Creates a AccountSession object that includes a single-use token that the platform can use on their front-end to grant client-side API access.,0.000000,0.000000,0.321999
71,1,LOW,Get,GetAccounts,"Returns a list of accounts connected to your platform via Connect. If you’re not a platform, the list is empty.",0.000000,0.000000,0.396592
72,1,LOW,Post,PostAccounts,"With Connect, you can create Stripe accounts for your users. To do this, you’ll first need to register your platform. If you’ve already collected information for your connected accounts, you can prefill that information when creating the account. Connect Onboarding won’t ask for the prefilled information during account onboarding. You can prefill any information on the account.",0.000000,0.000000,0.388496
73,1,LOW,Delete,DeleteAccountsAccount,"With Connect, you can delete accounts you manage. Test-mode accounts can be deleted at any time. Live-mode accounts that have access to the standard dashboard and Stripe is responsible for negative account balances cannot be deleted, which includes Standard accounts. All other Live-mode accounts, can be deleted when all balances are zero. If you want to delete your own account, use the account information tab in your account settings instead.",0.000000,0.000000,0.352943
74,1,LOW,Post,PostAccountsAccount,"Updates a connected account by setting the values of the parameters passed. Any parameters not provided are left unchanged. For accounts where controller.requirement_collection is application, which includes Custom accounts, you can update any information on the account. For accounts where controller.requirement_collection is stripe, which includes Standard and Express accounts, you can update all information until you create an Account Link or Account Session to start Connect onboarding, after which some properties can no longer be updated. To update your own account, use the Dashboard. Refer to our Connect documentation to learn more about updating accounts.",0.000000,0.000000,0.273897
75,1,LOW,Get,GetAccountsAccountCapabilities,"Returns a list of capabilities associated with the account. The capabilities are returned sorted by creation date, with the most recent capability appearing first.",0.000000,0.000000,0.195260
76,1,LOW,Get,GetAccountsAccountCapabilitiesCapability,Retrieves information about the specified Account Capability.,0.000000,0.000000,0.195260
77,1,LOW,Post,PostAccountsAccountCapabilitiesCapability,Updates an existing Account Capability. Request or remove a capability by updating its requested parameter.,0.000000,0.000000,0.262687
78,1,LOW,Get,GetAccountsAccountExternalAccounts,List external accounts for an account.,0.000000,0.000000,0.208633
79,1,LOW,Post,PostAccountsAccountLoginLinks,Creates a login link for a connected account to access the Express Dashboard. You can only create login links for accounts that use the Express Dashboard and are connected to your platform.,0.000000,0.000000,0.376523
80,1,LOW,Post,PostAccountsAccountReject,"With Connect, you can reject accounts that you have flagged as suspicious. Only accounts where your platform is liable for negative account balances, which includes Custom and Express accounts, can be rejected. Test-mode accounts can be rejected at any time. Live-mode accounts can only be rejected after all balances are zero.",0.000000,0.000000,0.352943
81,1,LOW,Post,PostApplePayDomains,Create an apple pay domain.,0.000000,0.000000,0.188105
82,1,LOW,Delete,DeleteApplePayDomainsDomain,Delete an apple pay domain.,0.000000,0.000000,0.193312
83,1,LOW,Get,GetApplicationFees,"Returns a list of application fees you’ve previously collected. The application fees are returned in sorted order, with the most recent fees appearing first.",0.000000,0.000000,0.276226
84,1,LOW,Post,PostApplicationFeesFeeRefundsId,Updates the specified application fee refund by setting the values of the parameters passed. Any parameters not provided will be left unchanged. This request only accepts metadata as an argument.,0.000000,0.000000,0.208098
85,1,LOW,Get,GetApplicationFeesId,Retrieves the details of an application fee that your account has collected. The same information is returned when refunding the application fee.,0.000000,0.000000,0.227669
86,1,LOW,Post,PostApplicationFeesIdRefund,,0.000000,0.000000,0.317967
87,1,LOW,Post,PostApplicationFeesIdRefunds,"Refunds an application fee that has previously been collected but not yet refunded. Funds will be refunded to the Stripe account from which the fee was originally collected. You can optionally refund only part of an application fee. You can do so multiple times, until the entire fee has been refunded. Once entirely refunded, an application fee can’t be refunded again. This method will raise an error when called on an already-refunded application fee, or when trying to refund more money than is left on an application fee.",0.000000,0.000000,0.291230
88,1,LOW,Get,GetAppsSecrets,List all secrets stored on the given scope.,0.000000,0.000000,0.274020
